city,latitude,longitude
Adana,37.0000,35.3213
Adiyaman,37.7648,38.2786
Afyonkarahisar,38.7507,30.5567
Agri,39.7191,43.0503
Amasya,40.6499,35.8353
Ankara,39.9334,32.8597
Antalya,36.8969,30.7133
Artvin,41.1828,41.8183
Aydin,37.8450,27.8396
Balikesir,39.6484,27.8826
Bilecik,40.1501,29.9831
Bingol,38.8854,40.4966
Bitlis,38.4006,42.1095
Bolu,40.7350,31.6061
Burdur,37.7203,30.2908
Bursa,40.1885,29.0610
Canakkale,40.1553,26.4142
Cankiri,40.6013,33.6134
Corum,40.5506,34.9556
Denizli,37.7765,29.0864
Diyarbakir,37.9144,40.2306
Edirne,41.6771,26.5557
Elazig,38.6743,39.2232
Erzincan,39.7500,39.5000
Erzurum,39.9043,41.2679
Eskisehir,39.7767,30.5206
Gaziantep,37.0662,37.3833
Giresun,40.9128,38.3895
Gumushane,40.4603,39.4814
Hakkari,37.5744,43.7408
Hatay,36.2023,36.1600
Isparta,37.7648,30.5566
Mersin,36.8121,34.6415
Istanbul,41.0082,28.9784
Izmir,38.4237,27.1428
Kars,40.6013,43.0975
Kastamonu,41.3887,33.7827
Kayseri,38.7312,35.4787
Kirklareli,41.7351,27.2252
Kirsehir,39.1425,34.1709
Kocaeli,40.8533,29.8815
Konya,37.8746,32.4932
Kutahya,39.4167,29.9833
Malatya,38.3552,38.3095
Manisa,38.6191,27.4289
Kahramanmaras,37.5753,36.9228
Mardin,37.3212,40.7245
Mugla,37.2153,28.3636
Mus,38.9462,41.7539
Nevsehir,38.6939,34.6857
Nigde,37.9667,34.6833
Ordu,40.9839,37.8764
Rize,41.0201,40.5234
Sakarya,40.7569,30.3781
Samsun,41.2867,36.3300
Siirt,37.9333,41.9500
Sinop,42.0231,35.1531
Sivas,39.7477,37.0179
Tekirdag,40.9780,27.5110
Tokat,40.3167,36.5500
Trabzon,41.0015,39.7178
Tunceli,39.1079,39.5401
Sanliurfa,37.1674,38.7955
Usak,38.6823,29.4082
Van,38.4891,43.4089
Yozgat,39.8181,34.8147
Zonguldak,41.4564,31.7987
Aksaray,38.3687,34.0370
Bayburt,40.2552,40.2249
Karaman,37.1811,33.2150
Kirikkale,39.8468,33.5153
Batman,37.8812,41.1351
Sirnak,37.4187,42.4918
Bartin,41.6344,32.3375
Ardahan,41.1105,42.7022
Igdir,39.9237,44.0450
Yalova,40.6500,29.2667
Karabuk,41.2061,32.6204
Kilis,36.7184,37.1212
Osmaniye,37.0742,36.2478
Duzce,40.8438,31.1565
